latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
13.37074,30.45899,303.11,0.43,0.62,2025-10-31,16,N,VIIRS,n,2.0NRT,288.82,0.99,N
13.40826,30.21761,297.61,0.42,0.61,2025-10-31,16,N,VIIRS,n,2.0NRT,287.27,0.64,N
13.48108,25.60028,296.06,0.41,0.45,2025-10-31,16,N,VIIRS,n,2.0NRT,280.65,0.6,N
13.55865,25.5118,311.55,0.41,0.45,2025-10-31,16,N,VIIRS,n,2.0NRT,272.12,1.33,N
13.56207,25.51625,297.78,0.41,0.45,2025-10-31,16,N,VIIRS,n,2.0NRT,271.62,0.58,N
13.56275,25.51253,308.79,0.41,0.45,2025-10-31,16,N,VIIRS,n,2.0NRT,273.1,1.24,N
13.70889,25.46981,296.77,0.4,0.44,2025-10-31,16,N,VIIRS,n,2.0NRT,274.2,0.62,N
13.95942,25.23693,313.56,0.39,0.44,2025-10-31,16,N,VIIRS,n,2.0NRT,284.33,1.31,N
13.96334,25.23808,327.94,0.39,0.44,2025-10-31,16,N,VIIRS,n,2.0NRT,285.74,1.4,N
13.96666,25.2426,299.74,0.39,0.44,2025-10-31,16,N,VIIRS,n,2.0NRT,283.26,1.17,N
13.96733,25.23889,299.31,0.39,0.44,2025-10-31,16,N,VIIRS,n,2.0NRT,284.19,1.4,N
14.05443,31.74857,301.6,0.51,0.66,2025-10-31,16,N,VIIRS,n,2.0NRT,290.77,1.3,N
14.05469,31.74894,302.04,0.51,0.66,2025-10-31,16,N,VIIRS,n,2.0NRT,290.82,1.39,N
14.35676,23.07199,297.67,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,275.58,1.46,N
14.35822,23.08487,309.09,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,280.78,0.88,N
14.35891,23.08078,298.71,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,281.25,0.88,N
14.3596,23.0767,302.06,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,278.6,1.46,N
14.36029,23.07262,330.17,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,275.94,1.46,N
14.36244,23.08141,311.74,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,283.17,1.73,N
14.36313,23.07733,304.19,0.44,0.39,2025-10-31,16,N,VIIRS,n,2.0NRT,277.65,0.61,N
15.31366,32.36503,303.8,0.53,0.67,2025-10-31,16,N,VIIRS,n,2.0NRT,293.15,0.92,N
10.19366,25.17125,309.96,0.44,0.46,2025-10-31,18,N,VIIRS,n,2.0NRT,284.54,0.96,N
10.2465,27.26077,322.72,0.6,0.53,2025-10-31,18,N,VIIRS,n,2.0NRT,276.71,2.23,N
10.65933,26.77839,302.13,0.55,0.51,2025-10-31,18,N,VIIRS,n,2.0NRT,284.33,1.79,N
10.66493,26.77426,310.03,0.55,0.51,2025-10-31,18,N,VIIRS,n,2.0NRT,288.17,1.79,N
10.66779,26.78519,302.06,0.55,0.51,2025-10-31,18,N,VIIRS,n,2.0NRT,288.4,2.64,N
10.6687,26.78016,327.12,0.55,0.51,2025-10-31,18,N,VIIRS,n,2.0NRT,290.35,6.91,N
10.67247,26.78607,301.87,0.55,0.51,2025-10-31,18,N,VIIRS,n,2.0NRT,287.41,2.64,N
10.67338,26.78104,338.05,0.55,0.51,2025-10-31,18,N,VIIRS,n,2.0NRT,292.35,6.91,N
11.64103,23.50343,297.91,0.5,0.41,2025-10-31,18,N,VIIRS,n,2.0NRT,284,0.73,N
11.64181,23.4989,303.92,0.5,0.41,2025-10-31,18,N,VIIRS,n,2.0NRT,287.14,0.73,N
11.64319,23.51317,304.94,0.5,0.41,2025-10-31,18,N,VIIRS,n,2.0NRT,284.14,0.93,N
11.64401,23.50846,307.37,0.5,0.41,2025-10-31,18,N,VIIRS,n,2.0NRT,286.14,0.93,N
11.64482,23.50378,300.08,0.5,0.41,2025-10-31,18,N,VIIRS,n,2.0NRT,286.35,0.73,N
11.66282,23.48868,308.52,0.5,0.41,2025-10-31,18,N,VIIRS,n,2.0NRT,285.73,1.08,N
11.76307,22.36649,317.44,0.44,0.38,2025-10-31,18,N,VIIRS,n,2.0NRT,290.93,3.15,N
11.76591,22.37117,323.5,0.44,0.38,2025-10-31,18,N,VIIRS,n,2.0NRT,291.43,3.12,N
8.03092,27.77371,342.81,0.43,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.4,7.43,D
8.05118,23.45126,331.68,0.51,0.49,2025-10-31,1121,N,VIIRS,n,2.0NRT,292.32,9.09,D
8.13305,27.87652,342.77,0.43,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,292.38,5.77,D
8.13365,27.88037,348.84,0.43,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.92,5.77,D
8.25401,27.09761,330.17,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,297,3.34,D
8.25468,27.03352,330.16,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.98,5.27,D
8.25693,27.09289,332.88,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.07,1.65,D
8.28496,26.96848,339.56,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.44,4.36,D
8.30639,26.98648,342.3,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.86,4.82,D
8.32608,27.4977,330.73,0.44,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.63,3.8,D
8.33506,26.9091,349.68,0.47,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.48,17.31,D
8.34182,26.88198,339.3,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.54,4.49,D
8.34751,26.89406,335.7,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.07,4.05,D
8.34871,25.70547,331.95,0.54,0.42,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.3,4.17,D
8.35113,26.89346,333.05,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.55,4.05,D
8.36699,27.10515,338.85,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.41,7.39,D
8.3811,27.12401,333,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.13,4.82,D
8.38176,27.12811,346.5,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,299,10.15,D
8.40232,25.71646,333.58,0.54,0.42,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.57,5.9,D
8.4059,26.70157,340.8,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.33,8.1,D
8.42995,26.71077,340.61,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.1,7.38,D
8.43982,27.26123,337.49,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.67,3.12,D
8.44782,26.56498,333.25,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.09,3.61,D
8.45699,27.25432,331.71,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.67,2.7,D
8.46143,24.81797,334.28,0.41,0.45,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.94,2.86,D
8.48074,26.61436,332.08,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.39,3.16,D
8.48268,26.61748,335.04,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.16,3.36,D
8.49993,27.21035,331.46,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.25,3.32,D
8.50416,27.21385,341.54,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.62,3.32,D
8.51146,26.64059,339.07,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.48,10.18,D
8.51506,26.77678,333.78,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,299.15,3.4,D
8.51536,26.77587,336.65,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,300.19,3.9,D
8.51649,27.51599,341,0.44,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.75,10.57,D
8.518,26.77191,332.32,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.09,3.4,D
8.51871,26.7762,332.39,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,299.33,3.4,D
8.52001,27.51543,336.39,0.44,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,291.91,3.08,D
8.53259,27.11699,342.62,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.93,5.03,D
8.53289,26.72563,335.15,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.65,4.48,D
8.53584,26.72075,333.21,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.44,2.95,D
8.56165,26.85636,333.56,0.47,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.38,4.21,D
8.56234,26.8606,340.13,0.47,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.67,8.1,D
8.56597,26.86002,345.11,0.47,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.3,6.62,D
8.57253,26.8546,349.45,0.47,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.6,10.63,D
